company,location,industry,total_laid_off,percentage_laid_off,date,country
Uberflip,Toronto,Marketing,31.0,0.17,2022-08-05,Canada
Doma,SF Bay Area,Finance,250.0,0.13,2022-08-04,United States
Article,Vancouver,Retail,216.0,0.17,2022-08-04,Canada
Jam City,Los Angeles,Consumer,200.0,0.17,2022-08-04,United States
10X Genomics,SF Bay Area,Healthcare,100.0,0.08,2022-08-04,United States
LEAD,Mumbai,Education,80.0,0.04,2022-08-04,India
On Deck,SF Bay Area,Education,73.0,0.33,2022-08-04,United States
RenoRun,Montreal,Construction,70.0,0.12,2022-08-04,Canada
Unbounce,Vancouver,Marketing,47.0,0.2,2022-08-03,Canada
Robinhood,SF Bay Area,Finance,713.0,0.23,2022-08-02,United States
Latch,New York City,Security,115.0,0.37,2022-08-02,United States
Nylas,SF Bay Area,Product,80.0,0.25,2022-08-02,United States
Outreach,Seattle,Sales,60.0,0.05,2022-08-02,United States
Sendy,Nairobi,Logistics,54.0,0.2,2022-08-02,Kenya
Sendy,Nairobi,Logistics,30.0,0.1,2022-08-02,Kenya
Stedi,Boulder,Product,23.0,0.3,2022-08-02,United States
Glossier,New York City,Retail,19.0,0.08,2022-08-02,United States
Hash,Sao Paulo,Finance,58.0,0.5,2022-08-01,Brazil
Metigy,Sydney,Marketing,75.0,1.0,2022-07-31,Australia
Vee,Tel Aviv,HR,16.0,0.32,2022-07-31,Israel
Clearco,Toronto,Finance,125.0,0.25,2022-07-29,Canada
Quantcast,SF Bay Area,Marketing,40.0,0.06,2022-07-29,United States
Career Karma,SF Bay Area,Education,60.0,0.33,2022-07-28,United States
Metromile,SF Bay Area,Finance,60.0,0.2,2022-07-28,United States
Rivian,Detroit,Transportation,840.0,0.06,2022-07-27,United States
Vox Media,Washington D.C.,Media,39.0,0.02,2022-07-27,United States
Coinsquare,Toronto,Crypto,30.0,0.24,2022-07-27,Canada
Skai,Tel Aviv,Marketing,30.0,0.04,2022-07-27,Israel
Shopify,Ottawa,Retail,1000.0,0.1,2022-07-26,Canada
Fiverr,Tel Aviv,Other,60.0,0.08,2022-07-26,Israel
InDebted,Sydney,Finance,40.0,0.17,2022-07-26,Australia
Outbrain,New York City,Marketing,38.0,0.03,2022-07-26,United States
Dover,SF Bay Area,Recruiting,23.0,0.3,2022-07-26,United States
