company,location,industry,total_laid_off,percentage_laid_off,date,country,mass_layoff
Boozt,Malmo,Retail,70.0,0.05,2022-06-09,Sweden,1
The Grommet,Boston,Retail,40.0,1.0,2022-06-09,United States,0
Stashaway,Singapore,Finance,31.0,0.14,2022-06-09,Singapore,0
Preply,Boston,Education,26.0,0.05,2022-06-09,United States,0
Sonder,SF Bay Area,Travel,250.0,0.21,2022-06-08,United States,1
Truepill,SF Bay Area,Healthcare,150.0,0.15,2022-06-08,United States,1
iPrice Group,Kuala Lumpur,Retail,50.0,0.2,2022-06-08,Malaysia,1
Cazoo,London,Transportation,750.0,0.15,2022-06-07,United Kingdom,1
Cazoo,London,Transportation,750.0,0.15,2022-06-07,United Kingdom,1
Rupeek,Bengaluru,Finance,180.0,0.15,2022-06-07,India,1
Bird,Los Angeles,Transportation,138.0,0.23,2022-06-07,United States,1
Dutchie,Bend,Other,50.0,0.07,2022-06-06,United States,1
Afterverse,Brasilia,Consumer,60.0,0.2,2022-06-03,Brazil,1
Superhuman,SF Bay Area,Consumer,23.0,0.22,2022-06-03,United States,0
Food52,New York City,Food,21.0,0.15,2022-06-03,United States,0
Carbon Health,SF Bay Area,Healthcare,250.0,0.08,2022-06-02,United States,1
PolicyGenius,New York City,Finance,170.0,0.25,2022-06-02,United States,1
Yojak,Gurugram,Construction,140.0,0.5,2022-06-02,India,1
Gemini,New York City,Crypto,100.0,0.1,2022-06-02,United States,1
Stord,Atlanta,Logistics,59.0,0.08,2022-06-02,United States,1
Gather,SF Bay Area,Consumer,30.0,0.33,2022-06-02,United States,0
IRL,SF Bay Area,Consumer,25.0,0.25,2022-06-02,United States,0
TomTom,Amsterdam,Transportation,500.0,0.1,2022-06-01,Netherlands,1
Cybereason,Boston,Security,100.0,0.06,2022-06-01,United States,1
Udayy,Gurugram,Education,100.0,1.0,2022-06-01,India,1
2TM,Sao Paulo,Crypto,90.0,0.12,2022-06-01,Brazil,1
Curve,London,Finance,65.0,0.1,2022-06-01,United Kingdom,1
Loom,SF Bay Area,Product,34.0,0.14,2022-06-01,United States,0
Impala,London,Travel,30.0,0.35,2022-06-01,United Kingdom,0
Playtika,Tel Aviv,Consumer,250.0,0.06,2022-05-31,Israel,1
Tomo,Stamford,Finance,44.0,0.33,2022-05-31,United States,0
