company,location,industry,total_laid_off,percentage_laid_off,date,country
Buzzer,New York City,Media,,0.2,2022-06-20,United States
Bybit,Singapore,Crypto,,,2022-06-20,Singapore
CityMall,Gurugram,Retail,191.0,0.3,2022-06-19,India
BitOasis,Dubai,Crypto,9.0,0.05,2022-06-19,United Arab Emirates
Unacademy,Bengaluru,Education,150.0,0.03,2022-06-18,India
Bytedance,Shanghai,Consumer,150.0,,2022-06-17,China
Socure,Reno,Finance,69.0,0.13,2022-06-17,United States
Finite State,Columbus,Security,16.0,0.2,2022-06-17,United States
JOKR,New York City,Food,50.0,0.05,2022-06-16,United States
Zumper,SF Bay Area,Real Estate,45.0,0.15,2022-06-16,United States
PharmEasy,Mumbai,Healthcare,40.0,,2022-06-16,India
Circulo Health,Columbus,Healthcare,,0.5,2022-06-16,United States
Swappie,Helsinki,Retail,250.0,0.17,2022-06-15,Finland
Wealthsimple,Toronto,Finance,159.0,0.13,2022-06-15,Canada
Weee!,SF Bay Area,Food,150.0,0.1,2022-06-15,United States
Notarize,Boston,Legal,110.0,0.25,2022-06-15,United States
Elementor,Tel Aviv,Media,60.0,0.15,2022-06-15,Israel
Tonkean,SF Bay Area,Other,23.0,0.23,2022-06-15,United States
Airtame,Copenhagen,Consumer,15.0,,2022-06-15,Denmark
OpenWeb,Tel Aviv,Media,14.0,0.05,2022-06-15,Israel
Swyft,Toronto,Logistics,10.0,0.3,2022-06-15,Canada
Crehana,Lima,Education,,,2022-06-15,Peru
JetClosing,Seattle,Real Estate,,1.0,2022-06-15,United States
Coinbase,SF Bay Area,Crypto,1100.0,0.18,2022-06-14,United States
Redfin,Seattle,Real Estate,470.0,0.08,2022-06-14,United States
Compass,New York City,Real Estate,450.0,0.1,2022-06-14,United States
Sami,Sao Paulo,Healthcare,75.0,0.15,2022-06-14,Brazil
Breathe,New Delhi,Healthcare,50.0,0.33,2022-06-14,India
Hunty,Bogota,HR,30.0,,2022-06-14,Colombia
TIFIN,Boulder,Crypto,24.0,0.1,2022-06-14,United States
Addi,Bogota,Finance,,,2022-06-14,Colombia
Shopee,Singapore,Food,,,2022-06-14,Singapore
BlockFi,New York City,Crypto,250.0,0.2,2022-06-13,United States
Wave Sports and Entertainment,Los Angeles,Media,56.0,0.33,2022-06-13,United States
Studio,SF Bay Area,Education,33.0,0.4,2022-06-13,United States
Automox,Boulder,Infrastructure,,,2022-06-13,United States
Desktop Metal,Boston,Other,,0.12,2022-06-13,United States
Crypto.com,Singapore,Crypto,260.0,0.05,2022-06-10,Singapore
FarEye,New Delhi,Logistics,250.0,0.3,2022-06-10,India
Berlin Brands Group,Berlin,Retail,100.0,0.1,2022-06-10,Germany
Sanar,Sao Paulo,Healthcare,60.0,0.2,2022-06-10,Brazil
Freetrade,London,Finance,45.0,0.15,2022-06-10,United Kingdom
Albert,Los Angeles,Finance,20.0,0.08,2022-06-10,United States
Keepe,Seattle,Real Estate,,,2022-06-10,United States
Liongard,Houston,Infrastructure,,,2022-06-10,United States
Ziroom,Beijing,Real Estate,,0.2,2022-06-10,China
OneTrust,Atlanta,Security,950.0,0.25,2022-06-09,United States
Stitch Fix,SF Bay Area,Retail,330.0,0.15,2022-06-09,United States
Daniel Wellington,Stockholm,Retail,200.0,0.15,2022-06-09,Sweden
Convoy,Seattle,Logistics,90.0,0.07,2022-06-09,United States
Hologram,Chicago,Infrastructure,80.0,0.4,2022-06-09,United States
Boozt,Malmo,Retail,70.0,0.05,2022-06-09,Sweden
The Grommet,Boston,Retail,40.0,1.0,2022-06-09,United States
Stashaway,Singapore,Finance,31.0,0.14,2022-06-09,Singapore
Preply,Boston,Education,26.0,0.05,2022-06-09,United States
Jellysmack,New York City,Media,,0.08,2022-06-09,United States
Starship,SF Bay Area,Transportation,,0.11,2022-06-09,United States
Trade Republic,Berlin,Finance,,,2022-06-09,Germany
Sonder,SF Bay Area,Travel,250.0,0.21,2022-06-08,United States
Kavak,Sao Paulo,Transportation,150.0,,2022-06-08,Brazil
Truepill,SF Bay Area,Healthcare,150.0,0.15,2022-06-08,United States
iPrice Group,Kuala Lumpur,Retail,50.0,0.2,2022-06-08,Malaysia
Memmo,Stockholm,Consumer,,0.4,2022-06-08,Sweden
Cazoo,London,Transportation,750.0,0.15,2022-06-07,United Kingdom
Cazoo,London,Transportation,750.0,0.15,2022-06-07,United Kingdom
Rupeek,Bengaluru,Finance,180.0,0.15,2022-06-07,India
Lummo,Jakarta,Marketing,150.0,,2022-06-07,Indonesia
Bird,Los Angeles,Transportation,138.0,0.23,2022-06-07,United States
ID.me,Washington D.C.,Security,130.0,,2022-06-07,United States
KiwiCo,SF Bay Area,Retail,40.0,,2022-06-07,United States
Bond,SF Bay Area,Finance,,,2022-06-07,United States
CyberCube,SF Bay Area,Finance,,,2022-06-07,United States
Propzy,Ho Chi Minh City,Real Estate,,0.5,2022-06-07,Vietnam
Clearco,Toronto,Finance,60.0,,2022-06-06,Canada
Dutchie,Bend,Other,50.0,0.07,2022-06-06,United States
Clearco,Dublin,Finance,,,2022-06-06,Ireland
Deep Instinct,New York City,Security,,0.1,2022-06-06,United States
Sendoso,SF Bay Area,Marketing,,0.14,2022-06-06,United States
Eruditus,Mumbai,Education,40.0,,2022-06-04,India
Afterverse,Brasilia,Consumer,60.0,0.2,2022-06-03,Brazil
Superhuman,SF Bay Area,Consumer,23.0,0.22,2022-06-03,United States
Food52,New York City,Food,21.0,0.15,2022-06-03,United States
5B Solar,Sydney,Energy,,0.25,2022-06-03,Australia
Clubhouse,SF Bay Area,Consumer,,,2022-06-03,United States
Tesla,Austin,Transportation,,0.1,2022-06-03,United States
Carbon Health,SF Bay Area,Healthcare,250.0,0.08,2022-06-02,United States
Favo,Sao Paulo,Food,170.0,,2022-06-02,Brazil
PolicyGenius,New York City,Finance,170.0,0.25,2022-06-02,United States
Yojak,Gurugram,Construction,140.0,0.5,2022-06-02,India
Envato,Melbourne,Marketing,100.0,,2022-06-02,Australia
Gemini,New York City,Crypto,100.0,0.1,2022-06-02,United States
Stord,Atlanta,Logistics,59.0,0.08,2022-06-02,United States
Gather,SF Bay Area,Consumer,30.0,0.33,2022-06-02,United States
Shef,SF Bay Area,Food,29.0,,2022-06-02,United States
IRL,SF Bay Area,Consumer,25.0,0.25,2022-06-02,United States
Esme Learning,Boston,Education,,,2022-06-02,United States
Kaodim,Selangor,Consumer,,1.0,2022-06-02,United States
Rain,Manama,Finance,,,2022-06-02,Bahrain
TomTom,Amsterdam,Transportation,500.0,0.1,2022-06-01,Netherlands
Cybereason,Boston,Security,100.0,0.06,2022-06-01,United States
Udayy,Gurugram,Education,100.0,1.0,2022-06-01,India
2TM,Sao Paulo,Crypto,90.0,0.12,2022-06-01,Brazil
Curve,London,Finance,65.0,0.1,2022-06-01,United Kingdom
Loom,SF Bay Area,Product,34.0,0.14,2022-06-01,United States
Skillshare,New York City,Education,31.0,,2022-06-01,United States
Impala,London,Travel,30.0,0.35,2022-06-01,United Kingdom
Eaze,SF Bay Area,Consumer,25.0,,2022-06-01,United States
Side,SF Bay Area,Real Estate,,0.1,2022-06-01,United States
Truck It In,Karachi,Logistics,,0.3,2022-06-01,Pakistan
Playtika,Tel Aviv,Consumer,250.0,0.06,2022-05-31,Israel
Replicated,Los Angeles,Infrastructure,50.0,,2022-05-31,United States
Tomo,Stamford,Finance,44.0,0.33,2022-05-31,United States
Getta,Tel Aviv,Transportation,30.0,,2022-05-31,Israel
BookClub,Salt Lake City,Education,12.0,0.25,2022-05-31,United States
Cerebral,SF Bay Area,Healthcare,,,2022-05-31,United States
SWVL,Dubai,Transportation,400.0,0.32,2022-05-30,United Arab Emirates
Mobile Premier League,Bengaluru,Consumer,100.0,0.1,2022-05-30,India
SumUp,Sao Paulo,Finance,100.0,0.03,2022-05-30,Brazil
Tempus Ex,SF Bay Area,Data,,,2022-05-30,United States
FrontRow,Bengaluru,Education,145.0,0.3,2022-05-27,India
Daloopa,New Delhi,Data,40.0,,2022-05-27,India
Uncapped,London,Finance,29.0,0.26,2022-05-27,United Kingdom
Akerna,Denver,Logistics,,,2022-05-27,United States
Terminus,Atlanta,Marketing,,,2022-05-27,United States
Terminus,Atlanta,Marketing,,,2022-05-27,United States
VTEX,Sao Paulo,Retail,200.0,0.13,2022-05-26,Brazil
Bitso,Mexico City,Crypto,80.0,0.11,2022-05-26,Mexico
